Country,Year,Month,Day,Weekday,Name,Type,Date
ES,2015,3,1,Sunday,Day of the Balearic Islands,Local holiday,2015-3-1
ES,2015,3,19,Thursday,San Jose,Common Local holidays,2015-3-19
ES,2015,3,20,Friday,San Jose,Local holiday,2015-3-20
ES,2015,4,2,Thursday,Maundy Thursday,Common Local holidays,2015-4-2
ES,2015,4,3,Friday,Good Friday,National holiday,2015-4-3
ES,2015,4,6,Monday,Easter Monday,Common Local holidays,2015-4-6
ES,2015,4,23,Thursday,Day of Aragón,Local holiday,2015-4-23
ES,2015,4,23,Thursday,St George's Day,Local holiday,2015-4-23
ES,2015,4,23,Thursday,Castile and León Day,Local holiday,2015-4-23
ES,2015,5,1,Friday,Labor Day / May Day,National holiday,2015-5-1
ES,2015,5,2,Saturday,Day of Madrid,Local holiday,2015-5-2
ES,2015,5,15,Friday,Feast Day of St Isidore,Local holiday,2015-5-15
ES,2015,5,17,Sunday,Galicia Literature Day,Local holiday,2015-5-17
ES,2015,5,25,Monday,Whit Monday,Local holiday,2015-5-25
ES,2015,5,30,Saturday,Day of the Canary Islands,Local holiday,2015-5-30
ES,2015,5,31,Sunday,Canaries day observed,Local holiday,2015-5-31
ES,2015,5,31,Sunday,Day of Castile-La Mancha,Local holiday,2015-5-31
ES,2015,6,4,Thursday,Corpus Christi,Local holiday,2015-6-4
ES,2015,6,9,Tuesday,Day of Murcia,Local holiday,2015-6-9
ES,2015,6,9,Tuesday,Day of La Rioja,Local holiday,2015-6-9
ES,2015,6,13,Saturday,San Antonio,Local holiday,2015-6-13
ES,2015,6,24,Wednesday,Saint John the Baptist Day,Local holiday,2015-6-24
ES,2015,7,25,Saturday,Feast of Saint James the Apostle,Common Local holidays,2015-7-25
ES,2015,7,28,Tuesday,Day of the Institutions,Local holiday,2015-7-28
ES,2015,8,5,Wednesday,The Day of Our Lady of Africa,Local holiday,2015-8-5
ES,2015,8,9,Sunday,The Day of Cantabria,Local holiday,2015-8-9
ES,2015,8,15,Saturday,Assumption of Mary,National holiday,2015-8-15
ES,2015,9,2,Wednesday,Day of the Independent City of Ceuta,Local holiday,2015-9-2
ES,2015,9,8,Tuesday,Day of Asturias,Local holiday,2015-9-8
ES,2015,9,8,Tuesday,Day of Extremadura,Local holiday,2015-9-8
ES,2015,9,8,Tuesday,Virgin of the Victory,Local holiday,2015-9-8
ES,2015,9,11,Friday,Day of Catalonia,Local holiday,2015-9-11
ES,2015,9,15,Tuesday,Nuestra Señora de la Bien Aparecida,Local holiday,2015-9-15
ES,2015,9,17,Thursday,Day of Melilla,Local holiday,2015-9-17
ES,2015,9,25,Friday,Eid-al-Adha,Local holiday,2015-9-25
ES,2015,10,9,Friday,Day of the Valencian Community,Local holiday,2015-10-9
ES,2015,10,12,Monday,Hispanic Day,National holiday,2015-10-12
ES,2015,11,1,Sunday,All Saints' Day,National holiday,2015-11-1
ES,2015,11,2,Monday,All Saints' Day observed,National holiday,2015-11-2
ES,2015,12,3,Thursday,Day of Navarre,Local holiday,2015-12-3
ES,2015,12,6,Sunday,Constitution Day,National holiday,2015-12-6
ES,2015,12,7,Monday,Constitution Day observed,National holiday,2015-12-7
ES,2015,12,8,Tuesday,Immaculate Conception,National holiday,2015-12-8
ES,2015,12,25,Friday,Christmas Day,National holiday,2015-12-25
ES,2015,12,26,Saturday,St Stephen's Day,Local holiday,2015-12-26
ES,2014,1,1,Wednesday,New Year's Day,National holiday,2014-1-1
ES,2014,1,6,Monday,Epiphany,National holiday,2014-1-6
ES,2014,2,28,Friday,Day of Andalucía,Local holiday,2014-2-28
ES,2014,3,1,Saturday,Day of the Balearic Islands,Local holiday,2014-3-1
ES,2014,3,19,Wednesday,San Jose,Common Local holidays,2014-3-19
ES,2014,4,17,Thursday,Maundy Thursday,Common Local holidays,2014-4-17
ES,2014,4,18,Friday,Good Friday,National holiday,2014-4-18
ES,2014,4,21,Monday,Easter Monday,Local holiday,2014-4-21
ES,2014,4,23,Wednesday,Day of Aragón,Local holiday,2014-4-23
ES,2014,4,23,Wednesday,St George's Day,Local holiday,2014-4-23
ES,2014,4,23,Wednesday,Castile and León Day,Local holiday,2014-4-23
ES,2014,5,1,Thursday,Labor Day / May Day,National holiday,2014-5-1
ES,2014,5,2,Friday,Day of Madrid,Local holiday,2014-5-2
ES,2014,5,15,Thursday,Feast Day of St Isidore,Local holiday,2014-5-15
ES,2014,5,17,Saturday,Galicia Literature Day,Local holiday,2014-5-17
ES,2014,5,30,Friday,Day of the Canary Islands,Local holiday,2014-5-30
ES,2014,5,31,Saturday,Canaries day observed,Local holiday,2014-5-31
ES,2014,5,31,Saturday,Day of Castile-La Mancha,Local holiday,2014-5-31
ES,2014,6,9,Monday,Whit Monday,Local holiday,2014-6-9
ES,2014,6,9,Monday,Day of Murcia,Local holiday,2014-6-9
ES,2014,6,9,Monday,Day of La Rioja,Local holiday,2014-6-9
ES,2014,6,13,Friday,San Antonio,Local holiday,2014-6-13
ES,2014,6,19,Thursday,Corpus Christi,Local holiday,2014-6-19
ES,2014,6,24,Tuesday,Saint John the Baptist Day,Local holiday,2014-6-24
ES,2014,7,25,Friday,Feast of Saint James the Apostle,Common Local holidays,2014-7-25
ES,2014,7,28,Monday,Day of the Institutions,Local holiday,2014-7-28
ES,2014,8,5,Tuesday,The Day of Our Lady of Africa,Local holiday,2014-8-5
ES,2014,8,10,Sunday,The Day of Cantabria,Local holiday,2014-8-10
ES,2014,8,15,Friday,Assumption of Mary,National holiday,2014-8-15
ES,2014,9,2,Tuesday,Day of the Independent City of Ceuta,Local holiday,2014-9-2
ES,2014,9,8,Monday,Day of Asturias,Local holiday,2014-9-8
ES,2014,9,8,Monday,Day of Extremadura,Local holiday,2014-9-8
ES,2014,9,8,Monday,Virgin of the Victory,Local holiday,2014-9-8
ES,2014,9,11,Thursday,Day of Catalonia,Local holiday,2014-9-11
ES,2014,9,15,Monday,Nuestra Señora de la Bien Aparecida,Local holiday,2014-9-15
ES,2014,9,17,Wednesday,Day of Melilla,Local holiday,2014-9-17
ES,2014,10,6,Monday,Eid-al-Adha,Local holiday,2014-10-6
ES,2014,10,9,Thursday,Day of the Valencian Community,Local holiday,2014-10-9
ES,2014,10,12,Sunday,Hispanic Day,National holiday,2014-10-12
ES,2014,10,13,Monday,Hispanic Day observed,National holiday,2014-10-13
ES,2014,12,3,Wednesday,Day of Navarre,Local holiday,2014-12-3
ES,2014,12,6,Saturday,Constitution Day,National holiday,2014-12-6
ES,2014,12,8,Monday,Immaculate Conception,National holiday,2014-12-8
ES,2014,12,25,Thursday,Christmas Day,National holiday,2014-12-25
ES,2014,12,26,Friday,St Stephen's Day,Local holiday,2014-12-26
ES,2013,1,1,Tuesday,New Year's Day,National holiday,2013-1-1
ES,2013,1,6,Sunday,Epiphany,National holiday,2013-1-6
ES,2013,1,7,Monday,Epiphany observed,Common Local holidays,2013-1-7
ES,2013,2,28,Thursday,Day of Andalucía,Local holiday,2013-2-28
ES,2013,3,1,Friday,Day of the Balearic Islands,Local holiday,2013-3-1
ES,2013,3,19,Tuesday,San Jose,Common Local holidays,2013-3-19
ES,2013,3,28,Thursday,Maundy Thursday,Common Local holidays,2013-3-28
ES,2013,3,29,Friday,Good Friday,National holiday,2013-3-29
ES,2013,4,1,Monday,Easter Monday,Local holiday,2013-4-1
ES,2013,4,23,Tuesday,Day of Aragón,Local holiday,2013-4-23
ES,2013,4,23,Tuesday,St George's Day,Local holiday,2013-4-23
ES,2013,4,23,Tuesday,Castile and León Day,Local holiday,2013-4-23
ES,2013,5,1,Wednesday,Labor Day / May Day,National holiday,2013-5-1
ES,2013,5,2,Thursday,Day of Madrid,Local holiday,2013-5-2
ES,2013,5,15,Wednesday,Feast Day of St Isidore,Local holiday,2013-5-15
ES,2013,5,17,Friday,Galicia Literature Day,Local holiday,2013-5-17
ES,2013,5,20,Monday,Whit Monday,Local holiday,2013-5-20
ES,2013,5,30,Thursday,Corpus Christi,Local holiday,2013-5-30
ES,2013,5,30,Thursday,Day of the Canary Islands,Local holiday,2013-5-30
ES,2013,5,31,Friday,Canaries day observed,Local holiday,2013-5-31
ES,2013,5,31,Friday,Day of Castile-La Mancha,Local holiday,2013-5-31
ES,2013,6,9,Sunday,Day of Murcia,Local holiday,2013-6-9
ES,2013,6,9,Sunday,Day of La Rioja,Local holiday,2013-6-9
ES,2013,6,10,Monday,Day of Murcia observed,Local holiday,2013-6-10
ES,2013,6,10,Monday,Day of La Rioja observed,Local holiday,2013-6-10
ES,2013,6,13,Thursday,San Antonio,Local holiday,2013-6-13
ES,2013,6,24,Monday,Saint John the Baptist Day,Local holiday,2013-6-24
ES,2013,7,25,Thursday,Feast of Saint James the Apostle,Common Local holidays,2013-7-25
ES,2013,7,28,Sunday,Day of the Institutions,Local holiday,2013-7-28
ES,2013,8,5,Monday,The Day of Our Lady of Africa,Local holiday,2013-8-5
ES,2013,8,11,Sunday,The Day of Cantabria,Local holiday,2013-8-11
ES,2013,8,15,Thursday,Assumption of Mary,National holiday,2013-8-15
ES,2013,9,2,Monday,Day of the Independent City of Ceuta,Local holiday,2013-9-2
ES,2013,9,8,Sunday,Day of Asturias,Local holiday,2013-9-8
ES,2013,9,8,Sunday,Day of Extremadura,Local holiday,2013-9-8
ES,2013,9,8,Sunday,Virgin of the Victory,Local holiday,2013-9-8
ES,2013,9,9,Monday,Day of Asturias observed,Local holiday,2013-9-9
ES,2013,9,9,Monday,Day of Extremadura observed,Local holiday,2013-9-9
ES,2013,9,11,Wednesday,Day of Catalonia,Local holiday,2013-9-11
ES,2013,9,15,Sunday,Nuestra Señora de la Bien Aparecida,Local holiday,2013-9-15
ES,2013,9,17,Tuesday,Day of Melilla,Local holiday,2013-9-17
ES,2013,10,9,Wednesday,Day of the Valencian Community,Local holiday,2013-10-9
ES,2013,10,12,Saturday,Hispanic Day,National holiday,2013-10-12
ES,2013,10,15,Tuesday,Eid-al-Adha,Local holiday,2013-10-15
ES,2013,12,3,Tuesday,Day of Navarre,Local holiday,2013-12-3
ES,2013,12,6,Friday,Constitution Day,National holiday,2013-12-6
ES,2013,12,8,Sunday,Immaculate Conception,National holiday,2013-12-8
ES,2013,12,9,Monday,Immaculate Conception observed,National holiday,2013-12-9
ES,2013,12,25,Wednesday,Christmas Day,National holiday,2013-12-25
ES,2012,1,1,Sunday,New Year's Day,National holiday,2012-1-1
ES,2012,1,6,Friday,Epiphany,National holiday,2012-1-6
ES,2012,2,28,Tuesday,Day of Andalucía,Local holiday,2012-2-28
ES,2012,3,1,Thursday,Day of the Balearic Islands,Local holiday,2012-3-1
ES,2012,3,19,Monday,San Jose,Common Local holidays,2012-3-19
ES,2012,4,5,Thursday,Maundy Thursday,Common Local holidays,2012-4-5
ES,2012,4,6,Friday,Good Friday,National holiday,2012-4-6
ES,2012,4,9,Monday,Easter Monday,Local holiday,2012-4-9
ES,2012,4,23,Monday,Day of Aragón,Local holiday,2012-4-23
ES,2012,4,23,Monday,St George's Day,Local holiday,2012-4-23
ES,2012,4,23,Monday,Castile and León Day,Local holiday,2012-4-23
ES,2012,5,1,Tuesday,Labor Day / May Day,National holiday,2012-5-1
ES,2012,5,2,Wednesday,Day of Madrid,Local holiday,2012-5-2
ES,2012,5,15,Tuesday,Feast Day of St Isidore,Local holiday,2012-5-15
ES,2012,5,17,Thursday,Galicia Literature Day,Local holiday,2012-5-17
ES,2012,5,28,Monday,Whit Monday,Local holiday,2012-5-28
ES,2012,5,30,Wednesday,Day of the Canary Islands,Local holiday,2012-5-30
ES,2012,5,31,Thursday,Canaries day observed,Local holiday,2012-5-31
ES,2012,5,31,Thursday,Day of Castile-La Mancha,Local holiday,2012-5-31
ES,2012,6,7,Thursday,Corpus Christi,Local holiday,2012-6-7
ES,2012,6,9,Saturday,Day of Murcia,Local holiday,2012-6-9
ES,2012,6,9,Saturday,Day of La Rioja,Local holiday,2012-6-9
ES,2012,6,13,Wednesday,San Antonio,Local holiday,2012-6-13
ES,2012,6,24,Sunday,Saint John the Baptist Day,Local holiday,2012-6-24
ES,2012,7,25,Wednesday,Feast of Saint James the Apostle,Common Local holidays,2012-7-25
ES,2012,7,28,Saturday,Day of the Institutions,Local holiday,2012-7-28
ES,2012,8,5,Sunday,The Day of Our Lady of Africa,Local holiday,2012-8-5
ES,2012,8,12,Sunday,The Day of Cantabria,Local holiday,2012-8-12
ES,2012,8,15,Wednesday,Assumption of Mary,National holiday,2012-8-15
ES,2012,9,2,Sunday,Day of the Independent City of Ceuta,Local holiday,2012-9-2
ES,2012,9,8,Saturday,Day of Asturias,Local holiday,2012-9-8
ES,2012,9,8,Saturday,Day of Extremadura,Local holiday,2012-9-8
ES,2012,9,8,Saturday,Virgin of the Victory,Local holiday,2012-9-8
ES,2012,9,11,Tuesday,Day of Catalonia,Local holiday,2012-9-11
ES,2012,9,15,Saturday,Nuestra Señora de la Bien Aparecida,Local holiday,2012-9-15
ES,2012,9,17,Monday,Day of Melilla,Local holiday,2012-9-17
ES,2012,10,9,Tuesday,Day of the Valencian Community,Local holiday,2012-10-9
ES,2012,10,12,Friday,Hispanic Day,National holiday,2012-10-12
ES,2012,10,26,Friday,Eid-al-Adha,Local holiday,2012-10-26
ES,2012,12,3,Monday,Day of Navarre,Local holiday,2012-12-3
ES,2012,12,6,Thursday,Constitution Day,National holiday,2012-12-6
ES,2012,12,8,Saturday,Immaculate Conception,National holiday,2012-12-8
ES,2012,12,25,Tuesday,Christmas Day,National holiday,2012-12-25
ES,2011,1,1,Saturday,New Year's Day,National holiday,2011-1-1
ES,2011,1,6,Thursday,Epiphany,National holiday,2011-1-6
ES,2011,2,28,Monday,Day of Andalucía,Local holiday,2011-2-28
ES,2011,3,1,Tuesday,Day of the Balearic Islands,Local holiday,2011-3-1
ES,2011,3,19,Saturday,San Jose,Common Local holidays,2011-3-19
ES,2011,4,21,Thursday,Maundy Thursday,Common Local holidays,2011-4-21
ES,2011,4,22,Friday,Good Friday,National holiday,2011-4-22
ES,2011,4,23,Saturday,Day of Aragón,Local holiday,2011-4-23
ES,2011,4,23,Saturday,St George's Day,Local holiday,2011-4-23
ES,2011,4,23,Saturday,Castile and León Day,Local holiday,2011-4-23
ES,2011,4,25,Monday,Easter Monday,Local holiday,2011-4-25
ES,2011,5,1,Sunday,Labor Day / May Day,National holiday,2011-5-1
ES,2011,5,2,Monday,Labor Day observed,National holiday,2011-5-2
ES,2011,5,3,Tuesday,Day of Madrid,Local holiday,2011-5-3
ES,2011,5,15,Sunday,Feast Day of St Isidore,Local holiday,2011-5-15
ES,2011,5,17,Tuesday,Galicia Literature Day,Local holiday,2011-5-17
ES,2011,5,30,Monday,Day of the Canary Islands,Local holiday,2011-5-30
ES,2011,5,31,Tuesday,Canaries day observed,Local holiday,2011-5-31
ES,2011,5,31,Tuesday,Day of Castile-La Mancha,Local holiday,2011-5-31
ES,2011,6,9,Thursday,Day of Murcia,Local holiday,2011-6-9
ES,2011,6,9,Thursday,Day of La Rioja,Local holiday,2011-6-9
ES,2011,6,13,Monday,Whit Monday,Local holiday,2011-6-13
ES,2011,6,13,Monday,San Antonio,Local holiday,2011-6-13
ES,2011,6,23,Thursday,Corpus Christi,Local holiday,2011-6-23
ES,2011,6,24,Friday,Saint John the Baptist Day,Local holiday,2011-6-24
ES,2011,7,25,Monday,Feast of Saint James the Apostle,Common Local holidays,2011-7-25
ES,2011,7,28,Thursday,Day of the Institutions,Local holiday,2011-7-28
ES,2011,8,5,Friday,The Day of Our Lady of Africa,Local holiday,2011-8-5
ES,2011,8,14,Sunday,The Day of Cantabria,Local holiday,2011-8-14
ES,2011,8,15,Monday,Assumption of Mary,National holiday,2011-8-15
ES,2011,9,2,Friday,Day of the Independent City of Ceuta,Local holiday,2011-9-2
ES,2011,9,8,Thursday,Day of Asturias,Local holiday,2011-9-8
ES,2011,9,8,Thursday,Day of Extremadura,Local holiday,2011-9-8
ES,2011,9,8,Thursday,Virgin of the Victory,Local holiday,2011-9-8
ES,2011,9,11,Sunday,Day of Catalonia,Local holiday,2011-9-11
ES,2011,9,15,Thursday,Nuestra Señora de la Bien Aparecida,Local holiday,2011-9-15
ES,2011,9,17,Saturday,Day of Melilla,Local holiday,2011-9-17
ES,2011,10,9,Sunday,Day of the Valencian Community,Local holiday,2011-10-9
ES,2011,10,12,Wednesday,Hispanic Day,National holiday,2011-10-12
ES,2011,11,7,Monday,Eid-al-Adha,Local holiday,2011-11-7
ES,2011,12,3,Saturday,Day of Navarre,Local holiday,2011-12-3
ES,2011,12,6,Tuesday,Constitution Day,National holiday,2011-12-6
ES,2011,12,8,Thursday,Immaculate Conception,National holiday,2011-12-8
ES,2011,12,25,Sunday,Christmas Day,National holiday,2011-12-25
ES,2011,12,26,Monday,Christmas Day observed,Common Local holidays,2011-12-26
IT,2016,1,1,Friday,New Year's Day,National holiday,2016-1-1
IT,2016,1,6,Wednesday,Epiphany,National holiday,2016-1-6
IT,2016,3,27,Sunday,Easter Day,National holiday,2016-3-27
IT,2016,3,28,Monday,Easter Monday,National holiday,2016-3-28
IT,2016,4,25,Monday,Liberation Day,National holiday,2016-4-25
IT,2016,4,25,Monday,The Feast of St Mark,Local holiday,2016-4-25
IT,2016,5,1,Sunday,Labor Day / May Day,National holiday,2016-5-1
IT,2016,6,2,Thursday,Republic Day,National holiday,2016-6-2
IT,2016,6,24,Friday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday,2016-6-24
IT,2016,6,29,Wednesday,The Feast of St. Peter and St. Paul (Rome),Local holiday,2016-6-29
IT,2016,8,15,Monday,Assumption of Mary,National holiday,2016-8-15
IT,2016,9,19,Monday,The Feast of Saint Januarius (Naples),Local holiday,2016-9-19
IT,2016,11,1,Tuesday,All Saints' Day,National holiday,2016-11-1
IT,2016,12,7,Wednesday,The Feast of St. Ambrose (Milan),Local holiday,2016-12-7
IT,2016,12,8,Thursday,Feast of the Immaculate Conception,National holiday,2016-12-8
IT,2016,12,25,Sunday,Christmas Day,National holiday,2016-12-25
IT,2016,12,26,Monday,St. Stephen's Day,National holiday,2016-12-26
IT,2015,1,1,Thursday,New Year's Day,National holiday,2015-1-1
IT,2015,1,6,Tuesday,Epiphany,National holiday,2015-1-6
IT,2015,4,5,Sunday,Easter Day,National holiday,2015-4-5
IT,2015,4,6,Monday,Easter Monday,National holiday,2015-4-6
IT,2015,4,25,Saturday,Liberation Day,National holiday,2015-4-25
IT,2015,4,25,Saturday,The Feast of St Mark,Local holiday,2015-4-25
IT,2015,5,1,Friday,Labor Day / May Day,National holiday,2015-5-1
IT,2015,6,2,Tuesday,Republic Day,National holiday,2015-6-2
IT,2015,6,24,Wednesday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday,2015-6-24
IT,2015,6,29,Monday,The Feast of St. Peter and St. Paul (Rome),Local holiday,2015-6-29
IT,2015,8,15,Saturday,Assumption of Mary,National holiday,2015-8-15
IT,2015,9,19,Saturday,The Feast of Saint Januarius (Naples),Local holiday,2015-9-19
IT,2015,11,1,Sunday,All Saints' Day,National holiday,2015-11-1
IT,2015,12,7,Monday,The Feast of St. Ambrose (Milan),Local holiday,2015-12-7
IT,2015,12,8,Tuesday,Feast of the Immaculate Conception,National holiday,2015-12-8
IT,2015,12,25,Friday,Christmas Day,National holiday,2015-12-25
IT,2015,12,26,Saturday,St. Stephen's Day,National holiday,2015-12-26
IT,2014,1,1,Wednesday,New Year's Day,National holiday,2014-1-1
IT,2014,1,6,Monday,Epiphany,National holiday,2014-1-6
IT,2014,4,20,Sunday,Easter Day,National holiday,2014-4-20
IT,2014,4,21,Monday,Easter Monday,National holiday,2014-4-21
IT,2014,4,25,Friday,Liberation Day,National holiday,2014-4-25
IT,2014,4,25,Friday,The Feast of St Mark,Local holiday,2014-4-25
IT,2014,5,1,Thursday,Labor Day / May Day,National holiday,2014-5-1
IT,2014,6,2,Monday,Republic Day,National holiday,2014-6-2
IT,2014,6,24,Tuesday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday,2014-6-24
IT,2014,6,29,Sunday,The Feast of St. Peter and St. Paul (Rome),Local holiday,2014-6-29
IT,2014,8,15,Friday,Assumption of Mary,National holiday,2014-8-15
IT,2014,9,19,Friday,The Feast of Saint Januarius (Naples),Local holiday,2014-9-19
IT,2014,11,1,Saturday,All Saints' Day,National holiday,2014-11-1
IT,2014,12,7,Sunday,The Feast of St. Ambrose (Milan),Local holiday,2014-12-7
IT,2014,12,8,Monday,Feast of the Immaculate Conception,National holiday,2014-12-8
IT,2014,12,25,Thursday,Christmas Day,National holiday,2014-12-25
IT,2014,12,26,Friday,St. Stephen's Day,National holiday,2014-12-26
IT,2013,1,1,Tuesday,New Year's Day,National holiday,2013-1-1
IT,2013,1,6,Sunday,Epiphany,National holiday,2013-1-6
IT,2013,3,31,Sunday,Easter Day,National holiday,2013-3-31
IT,2013,4,1,Monday,Easter Monday,National holiday,2013-4-1
IT,2013,4,25,Thursday,Liberation Day,National holiday,2013-4-25
IT,2013,4,25,Thursday,The Feast of St Mark,Local holiday,2013-4-25
IT,2013,5,1,Wednesday,Labor Day / May Day,National holiday,2013-5-1
IT,2013,6,2,Sunday,Republic Day,National holiday,2013-6-2
IT,2013,6,24,Monday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday,2013-6-24
IT,2013,6,29,Saturday,The Feast of St. Peter and St. Paul (Rome),Local holiday,2013-6-29
IT,2013,8,15,Thursday,Assumption of Mary,National holiday,2013-8-15
IT,2013,9,19,Thursday,The Feast of Saint Januarius (Naples),Local holiday,2013-9-19
IT,2013,11,1,Friday,All Saints' Day,National holiday,2013-11-1
IT,2013,12,7,Saturday,The Feast of St. Ambrose (Milan),Local holiday,2013-12-7
IT,2013,12,8,Sunday,Feast of the Immaculate Conception,National holiday,2013-12-8
IT,2013,12,25,Wednesday,Christmas Day,National holiday,2013-12-25
IT,2013,12,26,Thursday,St. Stephen's Day,National holiday,2013-12-26
IT,2012,1,1,Sunday,New Year's Day,National holiday,2012-1-1
IT,2012,1,6,Friday,Epiphany,National holiday,2012-1-6
IT,2012,4,8,Sunday,Easter Day,National holiday,2012-4-8
IT,2012,4,9,Monday,Easter Monday,National holiday,2012-4-9
IT,2012,4,25,Wednesday,Liberation Day,National holiday,2012-4-25
IT,2012,4,25,Wednesday,The Feast of St Mark,Local holiday,2012-4-25
IT,2012,5,1,Tuesday,Labor Day / May Day,National holiday,2012-5-1
IT,2012,6,2,Saturday,Republic Day,National holiday,2012-6-2
IT,2012,6,24,Sunday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday,2012-6-24
IT,2012,6,29,Friday,The Feast of St. Peter and St. Paul (Rome),Local holiday,2012-6-29
IT,2012,8,15,Wednesday,Assumption of Mary,National holiday,2012-8-15
IT,2012,9,19,Wednesday,The Feast of Saint Januarius (Naples),Local holiday,2012-9-19
IT,2012,11,1,Thursday,All Saints' Day,National holiday,2012-11-1
IT,2012,12,7,Friday,The Feast of St. Ambrose (Milan),Local holiday,2012-12-7
IT,2012,12,8,Saturday,Feast of the Immaculate Conception,National holiday,2012-12-8
IT,2012,12,25,Tuesday,Christmas Day,National holiday,2012-12-25
IT,2012,12,26,Wednesday,St. Stephen's Day,National holiday,2012-12-26
IT,2011,1,1,Saturday,New Year's Day,National holiday,2011-1-1
IT,2011,1,6,Thursday,Epiphany,National holiday,2011-1-6
IT,2011,3,17,Thursday,150th Anniversary of National Unity,National holiday,2011-3-17
IT,2011,4,24,Sunday,Easter Day,National holiday,2011-4-24
IT,2011,4,25,Monday,Easter Monday,National holiday,2011-4-25
IT,2011,4,25,Monday,Liberation Day,National holiday,2011-4-25
IT,2011,4,25,Monday,The Feast of St Mark,Local holiday,2011-4-25
IT,2011,5,1,Sunday,Labor Day / May Day,National holiday,2011-5-1
IT,2011,6,2,Thursday,Republic Day,National holiday,2011-6-2
IT,2011,6,24,Friday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday,2011-6-24
IT,2011,6,29,Wednesday,The Feast of St. Peter and St. Paul (Rome),Local holiday,2011-6-29
IT,2011,8,15,Monday,Assumption of Mary,National holiday,2011-8-15
